SUMMARY OF RUN ./data/case1/case1.data -- 333 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	      36.069	         116	         379	 4.91796e+03	 2.64742e+09	 2.00000e+04	 7.21389e+05	 2.64924e+04	 9.64696e+05	 1.95183e-02
	      39.069	         121	         396	 4.92798e+03	 2.64752e+09	 2.00000e+04	 7.81389e+05	 2.63868e+04	 1.04386e+06	 1.96363e-02
	      42.000	         125	         410	 4.93775e+03	 2.64762e+09	 2.00000e+04	 8.40000e+05	 2.62713e+04	 1.12085e+06	 1.97092e-02
	      45.000	         130	         429	 4.94776e+03	 2.64772e+09	 2.00000e+04	 9.00000e+05	 2.61419e+04	 1.19927e+06	 1.97431e-02
	      48.000	         134	         444	 4.95773e+03	 2.64782e+09	 2.00000e+04	 9.60000e+05	 2.60042e+04	 1.27728e+06	 1.97402e-02
	      50.000	         137	         455	 4.96429e+03	 2.64788e+09	 2.00000e+04	 1.00000e+06	 2.59107e+04	 1.32911e+06	 1.97242e-02
	      53.000	         141	         471	 4.97435e+03	 2.64798e+09	 2.00000e+04	 1.06000e+06	 2.57675e+04	 1.40641e+06	 1.96715e-02
	      56.000	         146	         491	 4.98433e+03	 2.64808e+09	 2.00000e+04	 1.12000e+06	 2.56248e+04	 1.48328e+06	 1.95947e-02
	      59.000	         151	         510	 4.99428e+03	 2.64819e+09	 2.00000e+04	 1.18000e+06	 2.54838e+04	 1.55973e+06	 1.94972e-02
	      62.000	         156	         531	 5.00426e+03	 2.64829e+09	 2.00000e+04	 1.24000e+06	 2.53454e+04	 1.63577e+06	 1.93817e-02
	      65.000	         160	         548	 5.01424e+03	 2.64839e+09	 2.00000e+04	 1.30000e+06	 2.52110e+04	 1.71140e+06	 1.92516e-02
	      68.000	         165	         567	 5.02420e+03	 2.64849e+09	 2.00000e+04	 1.36000e+06	 2.50742e+04	 1.78663e+06	 1.91040e-02
	      71.000	         169	         583	 5.03421e+03	 2.64859e+09	 2.00000e+04	 1.42000e+06	 2.49352e+04	 1.86143e+06	 1.89399e-02
	      74.000	         173	         599	 5.04419e+03	 2.64869e+09	 2.00000e+04	 1.48000e+06	 2.47984e+04	 1.93583e+06	 1.87632e-02
	      77.000	         177	         615	 5.05416e+03	 2.64879e+09	 2.00000e+04	 1.54000e+06	 2.46668e+04	 2.00983e+06	 1.85775e-02
	      80.000	         182	         634	 5.06419e+03	 2.64889e+09	 2.00000e+04	 1.60000e+06	 2.45399e+04	 2.08345e+06	 1.83838e-02
	      83.000	         186	         651	 5.07426e+03	 2.64899e+09	 2.00000e+04	 1.66000e+06	 2.44194e+04	 2.15671e+06	 1.81838e-02
	      86.000	         190	         668	 5.08432e+03	 2.64910e+09	 2.00000e+04	 1.72000e+06	 2.43076e+04	 2.22963e+06	 1.79792e-02
	      89.000	         194	         684	 5.09437e+03	 2.64920e+09	 2.00000e+04	 1.78000e+06	 2.42081e+04	 2.30225e+06	 1.77732e-02
	      92.000	         198	         700	 5.10445e+03	 2.64930e+09	 2.00000e+04	 1.84000e+06	 2.41251e+04	 2.37463e+06	 1.75705e-02
	      95.000	         202	         716	 5.11457e+03	 2.64940e+09	 2.00000e+04	 1.90000e+06	 2.40638e+04	 2.44682e+06	 1.73742e-02
	      98.000	         207	         737	 5.12467e+03	 2.64950e+09	 2.00000e+04	 1.96000e+06	 2.40246e+04	 2.51889e+06	 1.71865e-02
	     101.000	         212	         760	 5.13478e+03	 2.64960e+09	 2.00000e+04	 2.02000e+06	 2.40067e+04	 2.59091e+06	 1.70086e-02
	     104.000	         216	         778	 5.14491e+03	 2.64971e+09	 2.00000e+04	 2.08000e+06	 2.40056e+04	 2.66293e+06	 1.68379e-02
	     107.000	         220	         795	 5.15501e+03	 2.64981e+09	 2.00000e+04	 2.14000e+06	 2.40189e+04	 2.73499e+06	 1.66721e-02
	     110.000	         224	         814	 5.16512e+03	 2.64991e+09	 2.00000e+04	 2.20000e+06	 2.40477e+04	 2.80713e+06	 1.65135e-02
	     113.000	         229	         836	 5.17518e+03	 2.65001e+09	 2.00000e+04	 2.26000e+06	 2.40924e+04	 2.87941e+06	 1.63650e-02
	     116.000	         233	         854	 5.18522e+03	 2.65011e+09	 2.00000e+04	 2.32000e+06	 2.41474e+04	 2.95185e+06	 1.62246e-02
	     119.000	         237	         871	 5.19525e+03	 2.65021e+09	 2.00000e+04	 2.38000e+06	 2.42080e+04	 3.02447e+06	 1.60900e-02
	     122.000	         241	         888	 5.20526e+03	 2.65032e+09	 2.00000e+04	 2.44000e+06	 2.42692e+04	 3.09728e+06	 1.59566e-02
	     125.000	         245	         905	 5.21522e+03	 2.65042e+09	 2.00000e+04	 2.50000e+06	 2.43285e+04	 3.17027e+06	 1.58227e-02
	     128.000	         249	         922	 5.22518e+03	 2.65052e+09	 2.00000e+04	 2.56000e+06	 2.43885e+04	 3.24343e+06	 1.56921e-02
	     131.000	         253	         940	 5.23506e+03	 2.65062e+09	 2.00000e+04	 2.62000e+06	 2.44458e+04	 3.31677e+06	 1.55630e-02
	     134.000	         257	         958	 5.24495e+03	 2.65072e+09	 2.00000e+04	 2.68000e+06	 2.44978e+04	 3.39026e+06	 1.54323e-02
	     137.000	         261	         977	 5.25480e+03	 2.65082e+09	 2.00000e+04	 2.74000e+06	 2.45477e+04	 3.46391e+06	 1.53017e-02
	     140.000	         265	         995	 5.26462e+03	 2.65091e+09	 2.00000e+04	 2.80000e+06	 2.45970e+04	 3.53770e+06	 1.51726e-02
	     143.000	         269	        1012	 5.27442e+03	 2.65101e+09	 2.00000e+04	 2.86000e+06	 2.46428e+04	 3.61163e+06	 1.50427e-02
	     146.000	         273	        1029	 5.28415e+03	 2.65111e+09	 2.00000e+04	 2.92000e+06	 2.46865e+04	 3.68568e+06	 1.49132e-02
	     149.000	         277	        1047	 5.29389e+03	 2.65121e+09	 2.00000e+04	 2.98000e+06	 2.47270e+04	 3.75987e+06	 1.47828e-02
	     152.000	         281	        1064	 5.30356e+03	 2.65130e+09	 2.00000e+04	 3.04000e+06	 2.47647e+04	 3.83416e+06	 1.46525e-02
	     155.000	         285	        1081	 5.31325e+03	 2.65140e+09	 2.00000e+04	 3.10000e+06	 2.47958e+04	 3.90855e+06	 1.45193e-02
	     158.000	         289	        1098	 5.32288e+03	 2.65150e+09	 2.00000e+04	 3.16000e+06	 2.48229e+04	 3.98302e+06	 1.43859e-02
	     161.000	         293	        1115	 5.33249e+03	 2.65160e+09	 2.00000e+04	 3.22000e+06	 2.48468e+04	 4.05756e+06	 1.42526e-02
	     164.000	         297	        1132	 5.34208e+03	 2.65170e+09	 2.00000e+04	 3.28000e+06	 2.48704e+04	 4.13217e+06	 1.41201e-02
	     167.000	         301	        1150	 5.35161e+03	 2.65179e+09	 2.00000e+04	 3.34000e+06	 2.48953e+04	 4.20685e+06	 1.39890e-02
	     170.000	         305	        1168	 5.36115e+03	 2.65189e+09	 2.00000e+04	 3.40000e+06	 2.49164e+04	 4.28160e+06	 1.38553e-02
	     173.000	         309	        1186	 5.37065e+03	 2.65198e+09	 2.00000e+04	 3.46000e+06	 2.49445e+04	 4.35644e+06	 1.37250e-02
	     176.000	         313	        1205	 5.38010e+03	 2.65208e+09	 2.00000e+04	 3.52000e+06	 2.49792e+04	 4.43137e+06	 1.35997e-02
	     179.000	         318	        1230	 5.38955e+03	 2.65218e+09	 2.00000e+04	 3.58000e+06	 2.50086e+04	 4.50640e+06	 1.34718e-02
	     180.000	         320	        1238	 5.39262e+03	 2.65220e+09	 2.00000e+04	 3.60000e+06	 2.50173e+04	 4.53142e+06	 1.34286e-02
	     182.000	         323	        1253	 5.39888e+03	 2.65227e+09	 2.00000e+04	 3.64000e+06	 2.50342e+04	 4.58149e+06	 1.33439e-02
	     185.000	         328	        1279	 5.40825e+03	 2.65236e+09	 2.00000e+04	 3.70000e+06	 2.50549e+04	 4.65665e+06	 1.32176e-02
	     188.000	         333	        1304	 5.41761e+03	 2.65246e+09	 2.00000e+04	 3.76000e+06	 2.50710e+04	 4.73186e+06	 1.30903e-02
	     191.000	         337	        1324	 5.42690e+03	 2.65255e+09	 2.00000e+04	 3.82000e+06	 2.50839e+04	 4.80711e+06	 1.29614e-02
	     194.000	         341	        1345	 5.43618e+03	 2.65264e+09	 2.00000e+04	 3.88000e+06	 2.50975e+04	 4.88241e+06	 1.28342e-02
	     197.000	         345	        1365	 5.44542e+03	 2.65274e+09	 2.00000e+04	 3.94000e+06	 2.51130e+04	 4.95775e+06	 1.27083e-02
	     200.000	         349	        1384	 5.45464e+03	 2.65283e+09	 2.00000e+04	 4.00000e+06	 2.51365e+04	 5.03316e+06	 1.25849e-02
	     203.000	         353	        1403	 5.46382e+03	 2.65292e+09	 2.00000e+04	 4.06000e+06	 2.51559e+04	 5.10862e+06	 1.24598e-02
	     206.000	         357	        1422	 5.47297e+03	 2.65302e+09	 2.00000e+04	 4.12000e+06	 2.51743e+04	 5.18415e+06	 1.23373e-02
	     209.000	         361	        1440	 5.48207e+03	 2.65311e+09	 2.00000e+04	 4.18000e+06	 2.51890e+04	 5.25971e+06	 1.22149e-02
	     212.000	         365	        1459	 5.49116e+03	 2.65320e+09	 2.00000e+04	 4.24000e+06	 2.52008e+04	 5.33532e+06	 1.20920e-02
	     215.000	         369	        1477	 5.50022e+03	 2.65329e+09	 2.00000e+04	 4.30000e+06	 2.52130e+04	 5.41095e+06	 1.19682e-02
	     218.000	         373	        1496	 5.50925e+03	 2.65338e+09	 2.00000e+04	 4.36000e+06	 2.52284e+04	 5.48664e+06	 1.18437e-02
	     221.000	         377	        1514	 5.51826e+03	 2.65347e+09	 2.00000e+04	 4.42000e+06	 2.52526e+04	 5.56240e+06	 1.17242e-02
	     224.000	         381	        1532	 5.52724e+03	 2.65356e+09	 2.00000e+04	 4.48000e+06	 2.52654e+04	 5.63819e+06	 1.16018e-02
	     227.000	         385	        1550	 5.53619e+03	 2.65365e+09	 2.00000e+04	 4.54000e+06	 2.52756e+04	 5.71402e+06	 1.14801e-02
	     230.000	         390	        1572	 5.54510e+03	 2.65374e+09	 2.00000e+04	 4.60000e+06	 2.52850e+04	 5.78988e+06	 1.13596e-02
	     233.000	         394	        1589	 5.55399e+03	 2.65383e+09	 2.00000e+04	 4.66000e+06	 2.52943e+04	 5.86576e+06	 1.12376e-02
	     236.000	         398	        1607	 5.56286e+03	 2.65392e+09	 2.00000e+04	 4.72000e+06	 2.53073e+04	 5.94168e+06	 1.11168e-02
	     239.000	         402	        1626	 5.57168e+03	 2.65401e+09	 2.00000e+04	 4.78000e+06	 2.53182e+04	 6.01764e+06	 1.09968e-02
	     242.000	         406	        1645	 5.58049e+03	 2.65410e+09	 2.00000e+04	 4.84000e+06	 2.53280e+04	 6.09362e+06	 1.08780e-02
	     245.000	         410	        1665	 5.58928e+03	 2.65419e+09	 2.00000e+04	 4.90000e+06	 2.53352e+04	 6.16963e+06	 1.07563e-02
	     248.000	         414	        1683	 5.59805e+03	 2.65428e+09	 2.00000e+04	 4.96000e+06	 2.53443e+04	 6.24566e+06	 1.06357e-02
	     251.000	         418	        1703	 5.60679e+03	 2.65436e+09	 2.00000e+04	 5.02000e+06	 2.53516e+04	 6.32171e+06	 1.05157e-02
	     254.000	         422	        1724	 5.61547e+03	 2.65445e+09	 2.00000e+04	 5.08000e+06	 2.53566e+04	 6.39778e+06	 1.03951e-02
	     257.000	         427	        1749	 5.62416e+03	 2.65454e+09	 2.00000e+04	 5.14000e+06	 2.53606e+04	 6.47386e+06	 1.02734e-02
	     260.000	         431	        1769	 5.63284e+03	 2.65463e+09	 2.00000e+04	 5.20000e+06	 2.53684e+04	 6.54997e+06	 1.01499e-02
	     263.000	         435	        1787	 5.64147e+03	 2.65472e+09	 2.00000e+04	 5.26000e+06	 2.53799e+04	 6.62611e+06	 1.00289e-02
	     266.000	         439	        1808	 5.65006e+03	 2.65480e+09	 2.00000e+04	 5.32000e+06	 2.53914e+04	 6.70228e+06	 9.90823e-03
	     269.000	         443	        1829	 5.65864e+03	 2.65489e+09	 2.00000e+04	 5.38000e+06	 2.54023e+04	 6.77849e+06	 9.78672e-03
	     272.000	         447	        1848	 5.66720e+03	 2.65498e+09	 2.00000e+04	 5.44000e+06	 2.54111e+04	 6.85472e+06	 9.66447e-03
	     275.000	         451	        1869	 5.67568e+03	 2.65506e+09	 2.00000e+04	 5.50000e+06	 2.54183e+04	 6.93098e+06	 9.54187e-03
	     278.000	         455	        1889	 5.68422e+03	 2.65515e+09	 2.00000e+04	 5.56000e+06	 2.54248e+04	 7.00725e+06	 9.41869e-03
	     281.000	         459	        1909	 5.69269e+03	 2.65523e+09	 2.00000e+04	 5.62000e+06	 2.54306e+04	 7.08354e+06	 9.29366e-03
	     284.000	         463	        1932	 5.70111e+03	 2.65532e+09	 2.00000e+04	 5.68000e+06	 2.54383e+04	 7.15986e+06	 9.16990e-03
	     287.000	         467	        1952	 5.70953e+03	 2.65540e+09	 2.00000e+04	 5.74000e+06	 2.54456e+04	 7.23620e+06	 9.04458e-03
	     290.000	         471	        1974	 5.71791e+03	 2.65549e+09	 2.00000e+04	 5.80000e+06	 2.54541e+04	 7.31256e+06	 8.91714e-03
	     293.000	         476	        2003	 5.72630e+03	 2.65557e+09	 2.00000e+04	 5.86000e+06	 2.54686e+04	 7.38896e+06	 8.79032e-03
	     296.000	         481	        2028	 5.73465e+03	 2.65566e+09	 2.00000e+04	 5.92000e+06	 2.54753e+04	 7.46539e+06	 8.65896e-03
	     299.000	         485	        2047	 5.74294e+03	 2.65574e+09	 2.00000e+04	 5.98000e+06	 2.54817e+04	 7.54184e+06	 8.52447e-03
	     302.000	         489	        2071	 5.75123e+03	 2.65582e+09	 2.00000e+04	 6.04000e+06	 2.54876e+04	 7.61830e+06	 8.38571e-03
	     305.000	         494	        2098	 5.75956e+03	 2.65591e+09	 2.00000e+04	 6.10000e+06	 2.54900e+04	 7.69477e+06	 8.23615e-03
	     308.000	         498	        2121	 5.76783e+03	 2.65599e+09	 2.00000e+04	 6.16000e+06	 2.54925e+04	 7.77125e+06	 8.08005e-03
	     310.000	         503	        2143	 5.77330e+03	 2.65604e+09	 2.00000e+04	 6.20000e+06	 2.54919e+04	 7.82223e+06	 7.96770e-03
	     313.000	         508	        2169	 5.78149e+03	 2.65613e+09	 2.00000e+04	 6.26000e+06	 2.54949e+04	 7.89871e+06	 7.77917e-03
	     315.000	         512	        2189	 5.78691e+03	 2.65618e+09	 2.00000e+04	 6.30000e+06	 2.55059e+04	 7.94973e+06	 7.63611e-03
	     317.000	         516	        2210	 5.79235e+03	 2.65624e+09	 2.00000e+04	 6.34000e+06	 2.56080e+04	 8.00094e+06	 7.47404e-03
	     319.000	         522	        2237	 5.79774e+03	 2.65629e+09	 2.00000e+04	 6.38000e+06	 2.61098e+04	 8.05316e+06	 7.33410e-03
	     321.000	         527	        2262	 5.80294e+03	 2.65634e+09	 2.00000e+04	 6.42000e+06	 2.74218e+04	 8.10801e+06	 7.45801e-03
	     323.000	         531	        2282	 5.80790e+03	 2.65640e+09	 2.00000e+04	 6.46000e+06	 2.90566e+04	 8.16612e+06	 7.78492e-03
	     325.000	         535	        2303	 5.81263e+03	 2.65644e+09	 2.00000e+04	 6.50000e+06	 3.07186e+04	 8.22756e+06	 8.16215e-03
	     327.000	         538	        2320	 5.81713e+03	 2.65649e+09	 2.00000e+04	 6.54000e+06	 3.24750e+04	 8.29251e+06	 8.58672e-03
	     329.000	         542	        2342	 5.82139e+03	 2.65653e+09	 2.00000e+04	 6.58000e+06	 3.41613e+04	 8.36083e+06	 8.96832e-03
	     331.000	         546	        2364	 5.82542e+03	 2.65657e+09	 2.00000e+04	 6.62000e+06	 3.56850e+04	 8.43220e+06	 9.29004e-03
	     333.000	         548	        2378	 5.82924e+03	 2.65661e+09	 2.00000e+04	 6.66000e+06	 3.71350e+04	 8.50647e+06	 9.57724e-03
	     335.000	         554	        2410	 5.83288e+03	 2.65665e+09	 2.00000e+04	 6.70000e+06	 3.85912e+04	 8.58365e+06	 9.85497e-03
	     337.000	         562	        2447	 5.83633e+03	 2.65668e+09	 2.00000e+04	 6.74000e+06	 4.01351e+04	 8.66392e+06	 1.01566e-02
	     339.000	         566	        2469	 5.83957e+03	 2.65671e+09	 2.00000e+04	 6.78000e+06	 4.17708e+04	 8.74746e+06	 1.04935e-02
	     341.000	         569	        2488	 5.84261e+03	 2.65675e+09	 2.00000e+04	 6.82000e+06	 4.34028e+04	 8.83427e+06	 1.08576e-02
	     343.000	         573	        2510	 5.84545e+03	 2.65678e+09	 2.00000e+04	 6.86000e+06	 4.50133e+04	 8.92429e+06	 1.12258e-02
	     345.000	         577	        2532	 5.84811e+03	 2.65680e+09	 2.00000e+04	 6.90000e+06	 4.64814e+04	 9.01726e+06	 1.15834e-02
	     347.000	         579	        2546	 5.85061e+03	 2.65683e+09	 2.00000e+04	 6.94000e+06	 4.77813e+04	 9.11282e+06	 1.19078e-02
	     349.000	         582	        2563	 5.85298e+03	 2.65685e+09	 2.00000e+04	 6.98000e+06	 4.89654e+04	 9.21075e+06	 1.21993e-02
	     351.000	         584	        2577	 5.85521e+03	 2.65687e+09	 2.00000e+04	 7.02000e+06	 5.00351e+04	 9.31082e+06	 1.24603e-02
	     353.000	         587	        2596	 5.85732e+03	 2.65689e+09	 2.00000e+04	 7.06000e+06	 5.10079e+04	 9.41284e+06	 1.26936e-02
	     355.000	         589	        2609	 5.85932e+03	 2.65692e+09	 2.00000e+04	 7.10000e+06	 5.19148e+04	 9.51667e+06	 1.29010e-02
	     357.000	         592	        2629	 5.86121e+03	 2.65693e+09	 2.00000e+04	 7.14000e+06	 5.27313e+04	 9.62213e+06	 1.30815e-02
	     359.000	         594	        2642	 5.86300e+03	 2.65695e+09	 2.00000e+04	 7.18000e+06	 5.35105e+04	 9.72915e+06	 1.32460e-02
	     360.000	         596	        2656	 5.86388e+03	 2.65696e+09	 2.00000e+04	 7.20000e+06	 5.38900e+04	 9.78304e+06	 1.33253e-02
	     362.000	         598	        2671	 5.86556e+03	 2.65698e+09	 2.00000e+04	 7.24000e+06	 5.46242e+04	 9.89229e+06	 1.34732e-02
	     363.200	         600	        2683	 5.86653e+03	 2.65699e+09	 2.00000e+04	 7.26400e+06	 5.50688e+04	 9.95837e+06	 1.35562e-02
	     365.600	         603	        2706	 5.86838e+03	 2.65700e+09	 2.00000e+04	 7.31200e+06	 5.59101e+04	 1.00926e+07	 1.37120e-02
	     370.400	         607	        2739	 5.87170e+03	 2.65704e+09	 2.00000e+04	 7.40800e+06	 5.75301e+04	 1.03687e+07	 1.40144e-02
	     371.900	         609	        2751	 5.87270e+03	 2.65705e+09	 2.00000e+04	 7.43800e+06	 5.80304e+04	 1.04557e+07	 1.41085e-02
	     374.900	         613	        2774	 5.87454e+03	 2.65707e+09	 2.00000e+04	 7.49800e+06	 5.89842e+04	 1.06327e+07	 1.42840e-02
	     379.900	         620	        2812	 5.87723e+03	 2.65709e+09	 2.00000e+04	 7.59800e+06	 6.04649e+04	 1.09350e+07	 1.45583e-02
	     384.900	         625	        2843	 5.87944e+03	 2.65712e+09	 2.00000e+04	 7.69800e+06	 6.18534e+04	 1.12443e+07	 1.48200e-02
	     389.900	         628	        2865	 5.88128e+03	 2.65714e+09	 2.00000e+04	 7.79800e+06	 6.31879e+04	 1.15602e+07	 1.50704e-02
	     394.900	         633	        2896	 5.88281e+03	 2.65715e+09	 2.00000e+04	 7.89800e+06	 6.44439e+04	 1.18824e+07	 1.52991e-02
	     399.900	         635	        2911	 5.88402e+03	 2.65716e+09	 2.00000e+04	 7.99800e+06	 6.56068e+04	 1.22105e+07	 1.55073e-02
	     404.900	         638	        2931	 5.88497e+03	 2.65717e+09	 2.00000e+04	 8.09800e+06	 6.66898e+04	 1.25439e+07	 1.56992e-02
	     409.900	         641	        2950	 5.88567e+03	 2.65718e+09	 2.00000e+04	 8.19800e+06	 6.77184e+04	 1.28825e+07	 1.58818e-02
	     414.900	         644	        2969	 5.88610e+03	 2.65718e+09	 2.00000e+04	 8.29800e+06	 6.87181e+04	 1.32261e+07	 1.60599e-02
	     419.900	         647	        2990	 5.88621e+03	 2.65718e+09	 2.00000e+04	 8.39800e+06	 6.96791e+04	 1.35745e+07	 1.62341e-02
	     424.900	         649	        3004	 5.88608e+03	 2.65718e+09	 2.00002e+04	 8.49800e+06	 7.06005e+04	 1.39275e+07	 1.64032e-02
	     429.900	         652	        3022	 5.88569e+03	 2.65718e+09	 2.00000e+04	 8.59800e+06	 7.14957e+04	 1.42850e+07	 1.65683e-02
	     434.900	         655	        3038	 5.88507e+03	 2.65717e+09	 2.00000e+04	 8.69800e+06	 7.23582e+04	 1.46468e+07	 1.67259e-02
	     439.900	         658	        3056	 5.88422e+03	 2.65716e+09	 2.00000e+04	 8.79800e+06	 7.32209e+04	 1.50129e+07	 1.69029e-02
	     444.900	         660	        3069	 5.88318e+03	 2.65715e+09	 2.00000e+04	 8.89800e+06	 7.40009e+04	 1.53829e+07	 1.70546e-02
	     449.900	         662	        3082	 5.88195e+03	 2.65714e+09	 2.00000e+04	 8.99800e+06	 7.47571e+04	 1.57567e+07	 1.71955e-02
	     454.900	         665	        3099	 5.88054e+03	 2.65713e+09	 2.00000e+04	 9.09800e+06	 7.54930e+04	 1.61341e+07	 1.73337e-02
	     459.900	         668	        3116	 5.87894e+03	 2.65711e+09	 2.00000e+04	 9.19800e+06	 7.61645e+04	 1.65150e+07	 1.74586e-02
	     464.900	         671	        3136	 5.87715e+03	 2.65709e+09	 2.00000e+04	 9.29800e+06	 7.68081e+04	 1.68990e+07	 1.75825e-02
	     469.900	         673	        3150	 5.87517e+03	 2.65707e+09	 2.00000e+04	 9.39800e+06	 7.74713e+04	 1.72864e+07	 1.77148e-02
	     474.900	         675	        3162	 5.87305e+03	 2.65705e+09	 2.00000e+04	 9.49800e+06	 7.81129e+04	 1.76769e+07	 1.78442e-02
	     479.900	         678	        3180	 5.87076e+03	 2.65703e+09	 2.00000e+04	 9.59800e+06	 7.87594e+04	 1.80707e+07	 1.79801e-02
	     484.900	         680	        3195	 5.86831e+03	 2.65700e+09	 2.00000e+04	 9.69800e+06	 7.93543e+04	 1.84675e+07	 1.81078e-02
	     486.400	         684	        3209	 5.86756e+03	 2.65700e+09	 2.00000e+04	 9.72800e+06	 7.95389e+04	 1.85868e+07	 1.81426e-02
	     489.400	         686	        3220	 5.86601e+03	 2.65698e+09	 2.00000e+04	 9.78800e+06	 7.98680e+04	 1.88264e+07	 1.82153e-02
	     494.400	         689	        3238	 5.86332e+03	 2.65695e+09	 2.00000e+04	 9.88800e+06	 8.04267e+04	 1.92285e+07	 1.83318e-02
	     499.400	         691	        3251	 5.86046e+03	 2.65692e+09	 2.00000e+04	 9.98800e+06	 8.09953e+04	 1.96335e+07	 1.84546e-02
	     504.400	         695	        3275	 5.85748e+03	 2.65690e+09	 2.00000e+04	 1.00880e+07	 8.15737e+04	 2.00414e+07	 1.85811e-02
	     509.400	         697	        3288	 5.85436e+03	 2.65686e+09	 2.00000e+04	 1.01880e+07	 8.21012e+04	 2.04519e+07	 1.87004e-02
	     514.400	         699	        3301	 5.85112e+03	 2.65683e+09	 2.00000e+04	 1.02880e+07	 8.26143e+04	 2.08650e+07	 1.88179e-02
	     519.400	         702	        3317	 5.84773e+03	 2.65680e+09	 2.00000e+04	 1.03880e+07	 8.31685e+04	 2.12808e+07	 1.89444e-02
	     524.400	         704	        3331	 5.84418e+03	 2.65676e+09	 2.00000e+04	 1.04880e+07	 8.36422e+04	 2.16990e+07	 1.90709e-02
	     529.400	         708	        3377	 5.84055e+03	 2.65672e+09	 2.00000e+04	 1.05880e+07	 8.41411e+04	 2.21197e+07	 1.91852e-02
	     534.400	         710	        3390	 5.83681e+03	 2.65669e+09	 2.00000e+04	 1.06880e+07	 8.44960e+04	 2.25422e+07	 1.92754e-02
